Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10014,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,Bécancour,5555 Pierre Thibault,G9H 2T7,Quebec,46.3829,-72.3874,865.58,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10014-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110014&GoCTemplateCulture=en-CA
"
10015,ATCO Pipelines - Transmission System,ATCO Gas and Pipelines Ltd.,Edmonton,7210 42 Street Northwest,T6B 3H1,Alberta,53.509,-113.4088,115.67,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10015-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110015&GoCTemplateCulture=en-CA
"
10016,Atikokan Generating Station,Ontario Power Generation Inc.,Atikokan,15202 622 Highway,P0T 1C0,Ontario,48.8361,-91.5656,28.92,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Other Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221119&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10016-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110016&GoCTemplateCulture=en-CA
"
10018,Battle River Generating Station,Alberta Power 2000 Ltd.,Forestburg,,N/A,Alberta,52.5647,-112.1414,1 098.16,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10018-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110018&GoCTemplateCulture=en-CA
"
10020,Bayside Power,New Brunswick Power Corporation,Saint John,0 509 Bayside Drive,E2J 1B4,New Brunswick,45.2753,-66.0269,347.69,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10020-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110020&GoCTemplateCulture=en-CA
"
10021,Usine de Bedford,Graymont (QC) Inc.,Bedford,1015 de la Carriere Road,J0J 1A0,Quebec,45.1123,-73.0129,410.22,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Lime Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=327410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10021-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110021&GoCTemplateCulture=en-CA
"
10022,Belledune Generating Station,New Brunswick Power Corporation,Belledune,1558 Main Street,E8G 2M3,New Brunswick,47.9058,-65.867,1 749.58,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10022-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110022&GoCTemplateCulture=en-CA
"
10024,Boundary Dam Power Station,Saskatchewan Power Corporation,Estevan,,S4A 2A6,Saskatchewan,49.09606,-103.0305,4 286.44,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10024-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110024&GoCTemplateCulture=en-CA
"
10025,Resolute Forest Products - Thunder Bay Operations,Produits forestiers Résolu,Thunder Bay,2001 Neebing Avenue,P7E 6S3,Ontario,48.3486,-89.3067,216.91,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Chemical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10025-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110025&GoCTemplateCulture=en-CA
"
10026,Brady Road Resource Management Facility,"City of Winnipeg, Water & Waste Department",Winnipeg,1901 Brady Road,R3Y 1T1,Manitoba,49.7583,-97.2004,434.85,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Waste Treatment and Disposal,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=562210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10026-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110026&GoCTemplateCulture=en-CA
"
10027,Brampton Assembly Plant,FCA Canada Inc.,Brampton,2000 Williams Parkway East,L6S 6B3,Ontario,43.7512,-79.7168,60.08,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Automobile and Light-Duty Motor Vehicle Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=336110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10027-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110027&GoCTemplateCulture=en-CA
"
10028,Brandon Generating Station,Manitoba Hydro,Brandon,3305 Victoria Avenue East,R7A 7J8,Manitoba,49.8449,-99.8896,23.88,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10028-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110028&GoCTemplateCulture=en-CA
"
10029,Brazeau Gas Plant,Tidewater Midstream and Infrastructure Ltd.,Drayton Valley,,N/A,Alberta,53.1812,-115.7625,138.96,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10029-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110029&GoCTemplateCulture=en-CA
"
10030,Brazeau River Gas Plant,Keyera Corp,Drayton Valley,,T7A 1S5,Alberta,52.94707,-115.9026,53.27,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10030-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110030&GoCTemplateCulture=en-CA
"
10031,Brighton Beach Power,Brighton Beach Power L.P.,Windsor,100 Broadway Street,N9C 4J3,Ontario,42.2798,-83.0946,63.03,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10031-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110031&GoCTemplateCulture=en-CA
"
10032,Brock West Landfill,City of Toronto,Pickering,1390 3rd Concession,L1X 2R4,Ontario,43.8685,-79.10054,27.84,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Waste Treatment and Disposal,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=562210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10032-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110032&GoCTemplateCulture=en-CA
"
10033,Brookfield Cement Plant,Lafarge Canada Inc.,Brookfield,87 Cement Plant Road,B0N 1C0,Nova Scotia,45.2393,-63.3347,188.25,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Cement Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=327310&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10033-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110033&GoCTemplateCulture=en-CA
"
10036,Burnaby Refinery,Parkland Refining (B.C.) Ltd.,Burnaby,355 Willingdon Avenue North,V5C 1X4,British Columbia,49.29444,-122.98888,463.16,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Petroleum Refineries,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=324110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10036-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110036&GoCTemplateCulture=en-CA
"
10038,"TransCanada Pipeline, Saskatchewan",TransCanada PipeLines Limited,Burstall,0,S0N 0H0,Saskatchewan,0,0,887.64,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10038-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110038&GoCTemplateCulture=en-CA
"
10039,Cabot Canada Limited,Cabot Canada Limited,Sarnia,800 Tashmoo Avenue,N7T 7N4,Ontario,42.9437,-82.4153,219.84,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,All Other Basic Inorganic Chemical Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325189&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10039-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110039&GoCTemplateCulture=en-CA
"
10040,Calgary Energy Centre,Calgary Energy Centre No. 2 Inc.,Calgary,14417 68 Street Northeast,T3N 1C6,Alberta,51.18058,-113.9366,882.14,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10040-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110040&GoCTemplateCulture=en-CA
"
10041,Island Generation,V.I. Power LP,Campbell River,4400 Orange Point Road,V9W 4Z3,British Columbia,50.069,-125.282,229.14,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10041-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110041&GoCTemplateCulture=en-CA
"
10042,Calstock Power Plant,Atlantic Power LP,Hearst,11 Highway North,P0L 1N0,Ontario,49.0577,-81.0302,20.07,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Other Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221119&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10042-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110042&GoCTemplateCulture=en-CA
"
10043,Northern Lime Limited,Carmeuse Lime Canada Limited,Blind River,17 Highway 17 Highway East,P0R 1B0,Ontario,46.1982,-82.6989,130.8,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Lime Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=327410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10043-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110043&GoCTemplateCulture=en-CA
"
